name, rating, karma, post_score, comment_score
Kuznetsov,0.9,9.0,0,0
Kyarginski,0.0,0.0,0,0
Kyznya,1.0,10.0,0,0
L1kvID,60.26,9.0,74,16
lagutas,0.0,0.0,0,0
lalibu,0.0,0.0,0,0
lampsound,1.3,13.0,0,0
LANdiver,0.0,0.0,0,0
langolf,0.0,0.0,0,0
lany,77.83,410.25,44,151
laughedelic,3.5,35.0,0,0
LAVBoy,0.0,0.0,0,0
lazycommit,-0.1,-1.0,0,0
LE0N,0.0,0.0,0,0
le0pard,14.22,142.16,0,0
leave,3.16,31.6,0,0
leclecovich,0.0,0.0,0,0
LectorDr,0.13,1.25,0,0
leha,0.0,0.0,0,0
leksey,0.0,0.0,0,0
LeoCcoder,2.0,20.0,0,0
Lerg,13.57,125.0,0,107
leron,7.3,73.0,0,0
LeshaGarmonia,2.07,20.7,0,0
leshchenko,0.4,4.0,0,0
Leshiy35,0.0,0.0,0,0
Leshrac,0.5,5.0,0,0
lesnikova,97.17,113.25,107,24
les_sosna,0.0,0.0,0,0
Letux,0.0,0.0,0,0
LevaniD,0.0,0.0,0,0
LevkaRU,0.1,1.0,0,0
Levser,0.0,0.0,0,0
lexa107,0.9,9.0,0,0
lexkazakov,2.3,23.0,0,0
li_bao,1.1,11.0,0,0
lightcaster,9.51,94.25,0,8
Lihonosov,0.0,0.0,0,0
LinGG,0.0,0.0,0,0
links,1.51,15.1,0,0
linuxoff,0.0,0.0,0,0
LinZ,0.0,0.0,0,0
liq,2.1,21.0,0,0
LIR,1.44,6.25,0,45
Liroyd,0.0,0.0,0,0
Littlesnake,0.3,3.0,0,0
LLIypLLIuk,0.02,0.0,0,2
lnking,3.53,35.3,0,0
LOk1,0.3,3.0,0,0
lolobridgita,0.0,0.0,0,0
Longer,0.02,0.0,0,2
Lonsdaleite,1.85,18.5,0,0
lorc,0.11,0.0,0,11
LordMerlin,0.2,2.0,0,0
LuciferOverLondon,0.0,0.0,0,0
lucius,5.17,52.25,0,-6
Lucky_Student,11.85,118.5,0,0
Lukac,0.0,0.0,0,0
Lukin,0.0,0.0,0,0
lxyd,3.91,38.0,0,11
